category,title,words,has_digit,has_colon,in_word_band,shape_ok
blog,"From Grind to Cup: Unveiling Coffee's Hidden Benefits",8,0,1,1,1
blog,"Is Your Coffee Routine Sucking? Discover the Simple Fix!",9,0,0,1,1
blog,"The Benefits of Brewing: Exploring the World of Coffee",9,0,1,1,1
blog,"From Brewing to Bliss: My Journey with Coffee",8,0,1,1,1
blog,"From Dark Roast to Bright Insight: Navigating Coffee Varieties",9,0,1,1,1
blog,"Is Your Coffee Making You Annoyed?",6,0,0,1,1
blog,"The Art of Brewing: Mastering Coffee Extraction",7,0,1,1,1
blog,"What's Your Coffee Addiction Saying About You?",7,0,0,1,1
book,"Remote Revolution: Thriving in an Uncommon World",7,0,1,1,1
book,"What Really Scares Bosses About Remote Work",7,0,0,1,1
book,"Remote Mastery: Mastering the Art of Remote Work",8,0,1,0,1
book,"Finding My Remote Bliss: A Journey Inside",7,0,1,1,1
book,"Remote: The Unplugged Journey",4,0,1,1,1
book,"Flexibilizing Lives: A Remote Work Manifesto",6,0,1,1,1
book,"Thriving from Home: Navigating Remote Work",6,0,1,1,1
book,"22 Remote Revolution",3,1,0,1,1
poem,"Yeasted Emotions: A Journey with Sourdough",6,0,1,1,0
poem,"How Does Sourdough Bread Shape A Future Dream?",8,0,0,0,1
poem,"The Rise of Sourdough",4,0,0,1,1
poem,"The Sourdough's Journey",3,0,0,1,1
poem,"Rise From Yeast: A Sourduh Bread Odyssey",7,0,1,0,0
poem,"Ye Old Sourdough",3,0,0,1,1
poem,"Growing Bread from Yeast",4,0,0,1,1
poem,"What Lies Beneath The Sourdough Skin?",6,0,0,1,1
product,"MochaMingle",1,0,0,1,1
product,"Caffeinate Bliss",2,0,0,1,1
product,"Roast & Blend",3,0,0,1,1
product,"Caffinate",1,0,0,1,1
product,"Zen Brew",2,0,0,1,1
product,"Cupology",1,0,0,1,1
product,"JoltCoffee",1,0,0,1,1
product,"HarmonyHaze",1,0,0,1,1
product,"RiseFresh",1,0,0,1,1
product,"Fresh Rise",2,0,0,1,1
product,"Earthy Brioche",2,0,0,1,1
product,"Rise Perfect",2,0,0,1,1
product,"Fresh Loaf Rise",3,0,0,1,1
product,"Earthy Rise",2,0,0,1,1
product,"Rise Delight",2,0,0,1,1
product,"Risen Promise",2,0,0,1,1
song,"Is There Life After Coffee?",5,0,0,1,1
song,"4 Coffees in 4 Days",5,1,0,1,0
song,"Morning Ritual: A Coffee Awakening",5,0,1,1,0
song,"Chill from Coffee",3,0,0,1,1
song,"Does It Have to Be Black Coffee?",7,0,0,1,1
song,"5 Coffees to Coffee",4,1,0,1,0
song,"Does Coffee Have A Kick?",5,0,0,1,1
song,"3 Coffees to a Goal",5,1,0,1,0
youtube,"Maximizing Productivity from Home: Tips for Remote Workers",8,0,1,1,1
youtube,"Are You Overreacting to Remote Work?",6,0,0,1,1
youtube,"4 Easy Steps to Optimize Remote Work",7,1,0,1,1
youtube,"From Solo Blogger to Remote Pro",6,0,0,1,1
youtube,"Boost Your Remote Work Productivity with Minimal Setup",8,0,0,1,1
youtube,"Remote Work: 7 Tips for Success",6,1,1,1,1
youtube,"Transforming Remote Work: Tips & Tools for Success",8,0,1,1,1
youtube,"What Is the Secret to Successful Remote Work?",8,0,0,1,1

