run,batch,title,exact_new,engine_new,exact_union,engine_union
2,1,"The Art of Coffee Roasting: Crafting Flavorful Beans",1,1,1,1
2,1,"Is the World's Most Expensive Coffee Worth Drinking?",1,1,2,2
2,1,"The Science Behind a Perfect Coffee Brew",1,1,3,3
2,1,"Day in the Life: Brewing Coffee with my Hands",1,1,4,4
2,1,"Is Your Coffee Poisoning You?",1,1,5,5
2,1,"Exploring the Magic of Unique Coffee Flavors",1,1,6,6
2,1,"Is Your Coffee Shop Eco-Friendly?",1,1,7,7
2,1,"4 Cups of Goodness: Exploring Coffee Around the World",1,1,8,8
2,1,"From Barista to Boss: My Coffee Journey",1,1,9,9
2,1,"Reviving Old Coffee Beans: The Dark Side of Modern Brewing",1,1,10,10
2,1,"Where Coffee Comes From",1,1,11,11
2,1,"Unveiling the Secrets of the World's Most Delicious Coffee Beans",1,1,12,12
2,1,"Is Coffee the Next Big Thing?",1,1,13,13
2,1,"4 Coffees That Changed The World",1,1,14,14
2,1,"From Roast to Cup: My Journey into Coffee",1,1,15,15
2,1,"Sip into Sustainability: Eco-Friendly Coffee Alternatives",1,1,16,16
2,1,"From Beans to Cup: The Journey of Coffee",1,1,17,17
2,1,"Discover the Rich History Behind Your Morning Cup of Coffee",1,1,18,18
2,1,"1 Day in the Life of a Coffee Bean",1,1,19,19
2,1,"From Cup to Pot: My Coffee Journey",1,1,20,20
2,1,"Deconstructed: Understanding the Economics of Coffee",1,1,21,21
2,1,"Delicious Coffee: How to Make the Perfect Cup",1,1,22,22
2,1,"From Coffee Beans to Caffeine: A Journey Through Cultures",1,1,23,23
2,1,"5 Coffee Drinks Everyone Should Try",1,1,24,24
2,1,"I Spent the Morning Roasting Coffee Beans: From Farm to Cup",1,1,25,25
2,1,"Contrasting Coffee: From Bean to Cup",1,1,26,26
2,1,"The Mystery of Coffee Flavor",1,1,27,27
2,1,"Uncovering the Origins of Your Favorite Coffee Beans",1,1,28,28
2,1,"Is Your Daily Coffee Choice Eco-Friendly?",1,1,29,29
2,1,"8 Cups of Energy: The Coffee Chronicles",1,1,30,30
2,1,"Instant Coffee: The Secret to Long-Life Energy",1,1,31,31
2,1,"30-Minute Coffee Brew Mastery",1,1,32,32
2,1,"Crafting the Perfect Cup: A Coffee Lover's Journey",1,1,33,33
2,1,"What is Your Favorite Coffee Shop Really Selling?",1,1,34,34
2,1,"An Unexpected Journey: Coffee, Passion, and Personal Growth",1,1,35,35
2,1,"Is Your Coffee Driving You CRAZY?",1,1,36,36
2,1,"Mastering Coffee: A Guide",1,1,37,37
2,1,"Journey to the World's Best Coffee Beans",1,1,38,38
2,1,"What's Your Coffee Journey Telling You?",1,1,39,39
2,1,"10 Spices That Boost Coffee Flavor",1,1,40,40
2,1,"Breaking Barriers: My Journey to Perfect Coffee Mug",1,1,41,41
