keyword,category,attempt,accepted_index,outcome,title
"coffee","youtube",1,1,accepted,"Roaster's Journey: Unveiling the Flavor of Specialty Coffee"
"coffee","youtube",2,2,accepted,"Is Your Morning Coffee Making You Tired?"
"coffee","youtube",3,3,accepted,"7 Best Coffee Brevegos Recipes"
"coffee","youtube",4,4,accepted,"From Bean to Cup: My Journey with Coffee"
"coffee","youtube",5,4,duplicate,"From Bean to Cup: Brewing Coffee with Minimal Water"
"coffee","youtube",6,5,accepted,"From Beans to Caffeine: The Story of Coffee"
"coffee","youtube",7,6,accepted,"Delve Deep into the History of Coffee: From Coffee Beans to Brewed Bliss"
"coffee","youtube",8,7,accepted,"What's Behind the Rich Flavor of Coffee?"
"coffee","youtube",9,8,accepted,"4 Ways to Boost Your Coffee Game"
"coffee","youtube",10,9,accepted,"An Unusual Morning: My Coffee Journey"
"coffee","youtube",11,9,duplicate,"From Bean to Cup: Uncovering the Mystery Behind Coffee Varieties"
"coffee","youtube",12,10,accepted,"Roast Your Thoughts on Coffee"
"coffee","youtube",13,11,accepted,"Is Your Daily Cup of Coffee Killing the Planet?"
"coffee","youtube",14,12,accepted,"The Untold Story Behind Rare Coffee Varieties"
"coffee","youtube",15,13,accepted,"5 Brewing Techniques for Perfect Coffee"
"coffee","youtube",16,13,duplicate,"From Bean to Cup: My Coffee Journey"
"coffee","youtube",17,14,accepted,"Uncovering the Coffee That Vanquishes All Others"
"coffee","youtube",18,15,accepted,"Grinding the Best Coffee"
"coffee","youtube",19,15,duplicate,"From Bean to Cup: The Journey of Coffee"
"coffee","youtube",20,16,accepted,"Is Your Favorite Coffee Shop Influenced by Climate Change?"
"coffee","youtube",21,17,accepted,"24 Hours of Coffee Roasts"
"coffee","youtube",22,18,accepted,"From Roaster to Cup: My Journey with a Rare Coffee"
"coffee","youtube",23,19,accepted,"From Espresso to Tea Leaves: The Unlikely Evolution of Coffee"
"coffee","youtube",24,20,accepted,"An Impressive Journey: Coffee Adventure"
"coffee","youtube",25,20,duplicate,"From Bean to Cup: How Coffee Affects Your Daily Mood"
"coffee","youtube",26,21,accepted,"Are Coffee Pods the Healthiest Choice? Dive into the Debate!"
"coffee","youtube",27,22,accepted,"5 Simple Habits to Improve Coffee Flavor"
"coffee","youtube",28,23,accepted,"Spice Up Your Morning: My 3-Day Coffee Quest"
"coffee","youtube",29,24,accepted,"Coarse vs. Fine: Exploring the Tiniest Differences in Coffee"
"coffee","youtube",30,25,accepted,"The Science Behind Coffee"
"coffee","youtube",31,26,accepted,"The Art of Grind: Exploring the Science Behind Coffee"
"coffee","youtube",32,27,accepted,"Is Your Daily Cup of Coffee Killing You?"
"coffee","youtube",33,28,accepted,"4 Coffee Varieties Explained"
"coffee","youtube",34,29,accepted,"My Coffee Journey: A Day in the Life of a Coffee Enthusiast"
"coffee","youtube",35,30,accepted,"Debunking the Coffee Myths: Truth Behind the Brew"
"coffee","youtube",36,31,accepted,"Exploring the Flavor of Coffee"
"coffee","youtube",37,31,duplicate,"Exploring The Origins of World's Most Expensive Coffee Beans"
"coffee","youtube",38,32,accepted,"What Really Makes a Great Cup of Coffee?"
"coffee","youtube",39,33,accepted,"4 Simple Tips to Brew the Perfect Cup of Coffee"
"coffee","youtube",40,34,accepted,"Roasting My Way Through the Best Coffee Flavors"
"coffee","youtube",41,35,accepted,"Is Your Daily Coffee Boosting Your Mood?"
"coffee","youtube",42,36,accepted,"Your Essential Coffee Guide"
"coffee","youtube",43,37,accepted,"Decoding the Magic of Coffee: From Bean to Cup"
"coffee","youtube",44,38,accepted,"Is Coffee the Key to Superhuman Energy?"
"coffee","youtube",45,38,duplicate,"The Science Behind the World's Best Coffee"
"coffee","youtube",46,38,duplicate,"From Bean to Cup: My Coffee Journey"
"coffee","youtube",47,39,accepted,"Is Your Coffee Drinking Eco-Friendly?"
"coffee","youtube",48,39,duplicate,"Is Coffee Making You Tired?"
"coffee","youtube",49,40,accepted,"Beyond the Bean: Discovering Layers of Coffee Flavor"
"coffee","youtube",50,40,duplicate,"Is Coffee Really as Magical as We're Told?"
"coffee","youtube",51,41,accepted,"I Love Coffee: Exploring the Flavor of Life"
"coffee","youtube",52,42,accepted,"Spent a Week Brewing Coffee, What Did I Learn?"
"coffee","youtube",53,43,accepted,"Contrasting Coffee Cultures: From Dark Roasts to Caffeine Dreams"
"coffee","youtube",54,44,accepted,"The Dark Side of Coffee"
"coffee","youtube",55,44,duplicate,"From Bean to Cup: Exploring the Magic of Coffee"
"coffee","youtube",56,45,accepted,"Is Your Favorite Coffee Chemical? Coffee Chemistry Unveiled"
"coffee","youtube",57,46,accepted,"8 Striking Facts About Coffee"
"coffee","youtube",58,47,accepted,"Finding My Perfect Cup: My Quest for the Perfect Coffee Experience"
"coffee","youtube",59,48,accepted,"Extracting the Perfect Brew: The Science Behind Great Coffee"
"coffee","youtube",60,48,duplicate,"Is Coffee Good For You?"
"coffee","youtube",61,48,duplicate,"From Bean to Cup: Exploring the Life of Your Favorite Coffee"
"coffee","youtube",62,49,accepted,"Unveiling the World's Best Coffee: Is It Worth Exploring?"
"coffee","youtube",63,49,duplicate,"The Science Behind the Perfect Cup of Coffee"
"coffee","youtube",64,49,duplicate,"From Bean to Cup: My Journey to Perfect Coffee"
"coffee","youtube",65,49,duplicate,"Contrasting Coffee Cultures: Ethiopian Java vs. Brazilian Beans"
"coffee","youtube",66,50,accepted,"Explore the Magic of Coffee"
"coffee","youtube",67,50,duplicate,"Exploring the Flavor Hype: How Coffee Shapes Our Culture"
"coffee","youtube",68,51,accepted,"What Makes Coffee So Special?"
"coffee","youtube",69,52,accepted,"8 Most Delicious Coffee Flavors You Need to Try"
"coffee","youtube",70,52,duplicate,"From Bean to Cup: My Coffee Journey"
"coffee","youtube",71,53,accepted,"Roasting the Difference: High-Country Coffee vs. Your Daily Brew"
"coffee","youtube",72,54,accepted,"Best Coffee Tips Ever"
"coffee","youtube",73,54,duplicate,"From Bean to Cup: Exploring the Magic of Coffee"
"coffee","youtube",74,54,duplicate,"Is Your Daily Cup of Coffee Killing the Planet?"
"coffee","youtube",75,55,accepted,"4 Coffees You Need to Try Today"
"coffee","youtube",76,56,accepted,"My Journey to the Best Coffee Spot in the World"
"coffee","youtube",77,57,accepted,"Discover the Elusive Truth Behind the World's Best Coffee"
"coffee","youtube",78,57,duplicate,"The Science of Coffee Flavor"
"coffee","youtube",79,57,duplicate,"From Bean to Cup: The Journey of Coffee"
"coffee","youtube",80,58,accepted,"Is This the Best Coffee in the World?"
"coffee","youtube",81,59,accepted,"5 Powerful Benefits of Drinking Coffee Every Day"
"coffee","youtube",82,60,accepted,"Everyday Coffee Ritual: From Bean to Brew"
